Current x = 0, Current v = 0
Current x = 0.125, Current v = 0.234375
Current x = 0.367188, Current v = 0.438477
Current x = 0.711426, Current v = 0.599548
Current x = 1.1362, Current v = 0.707523
Current x = 1.61496, Current v = 0.755653
Current x = 2.11779, Current v = 0.74093
Current x = 2.61325, Current v = 0.664273
Current x = 3.07039, Current v = 0.530474
Current x = 3.46063, Current v = 0.347896
Current x = 3.75957, Current v = 0.127949
Current x = 3.94855, Current v = -0.11562
Current x = 4.01574, Current v = -0.367587
Current x = 3.95695, Current v = -0.612205
Current x = 3.77584, Current v = -0.834186
Current x = 3.48375, Current v = -1.01965
Current x = 3.09892, Current v = -1.15702
Current x = 2.64541, Current v = -1.2377
Current x = 2.15157, Current v = -1.25664
Current x = 1.64824, Current v = -1.21267
Current x = 1.16691, Current v = -1.10854
Current x = 0.73764, Current v = -0.950741
Current x = 0.387269, Current v = -0.74915
Current x = 0.137694, Current v = -0.516362
Current x = 0.00451345, Current v = -0.266926
Current x = -0.0039494, Current v = -0.016432
Current x = 0.112835, Current v = 0.219464
Current x = 0.347566, Current v = 0.426018
Current x = 0.685575, Current v = 0.590321
Current x = 1.10574, Current v = 0.702104
Current x = 1.58179, Current v = 0.75438
Current x = 2.08398, Current v = 0.743883
Current x = 2.58092, Current v = 0.671268
Current x = 3.04155, Current v = 0.541074
Current x = 3.43709, Current v = 0.361438
Current x = 3.74281, Current v = 0.143587
Current x = 3.9396, Current v = -0.0988639
Current x = 4.01517, Current v = -0.35076
Current x = 3.96479, Current v = -0.596359
Current x = 3.79161, Current v = -0.82031
Current x = 3.50646, Current v = -1.00862
